indicador,localidad,ano__2008,ano__2009,ano__2010,ano__2011,ano__2012,ano__2013,ano__2014,ano__2015,ano__2016,ano__2017,ano__2018,ano__2019,ano__2020,ano__2021,ano__2022,ano__2023,ano__2024
Numero de homicidios CICRI,Antonio Narino,21,20,18,12,7,9,19,17,23,13,13,11,11,14,21,13,14
Numero de hurtos a personas,Antonio Narino,388,322,378,387,463,665,580,524,909,1565,1804,2420,1909,2482,2744,3228,2237
Numero de hurtos a vehiculos,Antonio Narino,103,143,125,117,76,57,87,66,78,124,114,106,120,116,113,143,127
Numero de hurto a establecimientos de comercio,Antonio Narino,124,107,100,94,283,657,462,444,381,621,703,708,409,419,428,357,353
Numero de hurtos a residencias,Antonio Narino,80,57,64,66,66,63,54,48,46,125,133,158,187,154,123,120,74
Numero de lesiones comunes,Antonio Narino,193,183,185,193,223,266,256,282,398,488,515,429,295,422,352,313,307
Numero de homicidios CICRI,Barrios Unidos,28,23,20,23,15,10,13,10,11,12,12,9,9,11,12,17,21
Numero de hurtos a personas,Barrios Unidos,745,695,760,773,936,1230,1269,1272,1686,3482,4571,5433,3279,4264,5402,6931,5117
Numero de hurtos a vehiculos,Barrios Unidos,139,117,142,114,72,58,69,52,62,84,103,110,91,115,83,78,130
Numero de hurto a establecimientos de comercio,Barrios Unidos,302,305,260,194,216,190,175,137,126,661,713,794,581,529,522,530,494
Numero de hurtos a residencias,Barrios Unidos,202,196,191,185,172,108,148,64,78,322,331,302,297,286,257,230,221
Numero de lesiones comunes,Barrios Unidos,248,255,229,218,307,287,370,353,678,746,751,565,452,592,617,608,449
Numero de homicidios CICRI,Bosa,89,97,112,148,111,138,124,131,125,122,102,107,84,114,90,112,118
Numero de hurtos a personas,Bosa,712,767,907,917,982,1081,989,1036,1591,2991,4340,5225,4516,6205,6824,7284,5326
Numero de hurtos a vehiculos,Bosa,93,99,95,154,129,72,99,85,103,146,197,209,229,284,273,228,190
Numero de hurto a establecimientos de comercio,Bosa,162,168,180,153,295,266,180,164,131,642,718,597,409,427,466,483,364
Numero de hurtos a residencias,Bosa,260,234,295,315,324,237,244,242,246,616,775,773,635,509,412,409,316
Numero de lesiones comunes,Bosa,877,796,786,1107,1330,1001,989,1066,1795,2142,2230,2042,1582,2213,1674,1615,1383
Numero de homicidios CICRI,Chapinero,30,31,11,21,9,12,9,11,8,10,10,15,9,11,15,16,18
Numero de hurtos a personas,Chapinero,1801,1639,1438,1747,1944,2582,2871,3073,3163,6886,10207,13546,5369,8424,11994,14976,10943
Numero de hurtos a vehiculos,Chapinero,61,47,68,87,39,53,50,18,25,62,54,45,37,55,55,57,68
Numero de hurto a establecimientos de comercio,Chapinero,559,468,311,314,480,537,507,515,270,1306,1665,1882,985,822,918,933,952
Numero de hurtos a residencias,Chapinero,516,408,298,258,357,322,312,269,231,417,404,416,366,325,373,376,288
Numero de lesiones comunes,Chapinero,310,202,180,240,370,407,434,399,659,773,797,627,383,549,597,567,529
Numero de homicidios CICRI,Ciudad Bolivar,217,254,237,299,238,242,258,266,244,213,257,195,210,206,198,188,236
Numero de hurtos a personas,Ciudad Bolivar,660,654,576,642,856,840,732,829,1091,2335,3305,4194,3633,5000,5576,6596,4737
Numero de hurtos a vehiculos,Ciudad Bolivar,58,68,61,79,76,101,139,148,126,154,195,176,240,263,292,353,329
Numero de hurto a establecimientos de comercio,Ciudad Bolivar,196,164,131,96,99,85,84,93,64,392,477,533,348,381,453,432,375
Numero de hurtos a residencias,Ciudad Bolivar,377,261,255,221,226,195,179,194,167,420,532,605,474,408,405,468,340
Numero de lesiones comunes,Ciudad Bolivar,1818,1501,1215,1476,1681,1405,1429,1410,1780,2070,2311,2392,1743,2202,1798,2068,1963
Numero de homicidios CICRI,Engativa,104,117,89,80,83,68,63,70,55,69,35,53,51,53,47,60,65
Numero de hurtos a personas,Engativa,1208,1131,1419,1319,1918,2148,2003,1783,3421,6981,9667,11534,9006,11734,13702,15458,12300
Numero de hurtos a vehiculos,Engativa,389,373,367,420,348,398,280,290,335,383,460,508,407,553,466,461,407
Numero de hurto a establecimientos de comercio,Engativa,244,282,343,282,733,728,614,663,621,1953,1951,1839,1213,952,1019,1080,888
Numero de hurtos a residencias,Engativa,431,436,540,422,462,229,375,142,100,1004,1207,1213,981,915,869,1229,630
Numero de lesiones comunes,Engativa,769,538,707,489,1110,989,819,921,1940,2190,2116,1589,1347,1781,1619,1595,1325
Numero de homicidios CICRI,Fontibon,44,34,22,34,26,21,27,18,24,20,19,27,22,27,27,32,37
Numero de hurtos a personas,Fontibon,911,958,1014,1011,1253,1685,1573,1591,2189,4443,6210,7804,5305,7013,9190,8938,8038
Numero de hurtos a vehiculos,Fontibon,143,92,161,140,102,112,101,113,81,153,138,145,163,153,158,156,131
Numero de hurto a establecimientos de comercio,Fontibon,168,215,182,163,315,257,216,247,274,1195,1347,1179,821,709,976,856,678
Numero de hurtos a residencias,Fontibon,266,234,246,232,263,159,178,89,93,466,415,452,431,361,417,386,313
Numero de lesiones comunes,Fontibon,350,259,230,326,553,389,437,559,834,1029,1085,808,640,871,819,791,646
Numero de homicidios CICRI,Kennedy,197,244,179,281,203,164,153,152,154,125,139,137,143,186,117,171,174
Numero de hurtos a personas,Kennedy,1779,1549,1536,1586,2308,2569,2736,2767,4298,8460,11080,13044,9546,11981,14539,16152,11910
Numero de hurtos a vehiculos,Kennedy,455,435,461,538,470,353,420,510,702,750,783,788,702,815,827,969,983
Numero de hurto a establecimientos de comercio,Kennedy,299,333,337,290,639,560,373,453,441,1767,1966,1780,1093,1036,968,936,882
Numero de hurtos a residencias,Kennedy,551,594,668,501,574,334,409,389,524,1122,1244,1287,1020,987,817,872,656
Numero de lesiones comunes,Kennedy,1331,1474,1369,1101,1666,1089,1253,1426,2459,2994,3496,3087,2196,2994,2517,2306,2332
Numero de homicidios CICRI,La Candelaria,13,6,4,4,0,0,8,4,3,6,3,2,3,6,1,8,4
Numero de hurtos a personas,La Candelaria,324,282,367,350,397,591,681,482,500,1135,1573,1845,781,973,1327,1309,1791
Numero de hurtos a vehiculos,La Candelaria,5,3,11,10,2,8,6,2,4,11,6,35,16,12,18,7,14
Numero de hurto a establecimientos de comercio,La Candelaria,61,54,48,47,103,78,69,26,24,141,192,357,157,395,174,149,188
Numero de hurtos a residencias,La Candelaria,35,35,34,32,25,18,16,11,11,55,45,45,46,33,35,33,39
Numero de lesiones comunes,La Candelaria,80,39,80,89,126,145,167,127,174,202,242,266,224,307,196,190,188
Numero de homicidios CICRI,Los Martires,92,66,49,57,51,45,65,77,51,55,55,66,52,70,49,48,47
Numero de hurtos a personas,Los Martires,525,459,553,675,778,985,1233,1142,1393,3109,4412,5493,3362,4364,5721,9097,11478
Numero de hurtos a vehiculos,Los Martires,92,79,87,93,59,44,66,35,48,98,84,79,82,94,76,70,130
Numero de hurto a establecimientos de comercio,Los Martires,155,80,96,100,233,206,368,279,129,735,685,620,446,493,554,713,828
Numero de hurtos a residencias,Los Martires,58,55,48,67,76,47,91,39,35,194,157,188,218,212,181,254,180
Numero de lesiones comunes,Los Martires,328,240,212,341,440,370,553,486,664,793,1057,597,572,787,808,1179,1016
Numero de homicidios CICRI,Puente Aranda,33,40,34,33,20,33,26,22,28,26,26,35,45,16,21,16,25
Numero de hurtos a personas,Puente Aranda,638,571,640,697,807,982,1281,1055,1573,3637,4761,5803,4257,5468,6691,6964,5589
Numero de hurtos a vehiculos,Puente Aranda,301,350,244,243,194,201,207,237,280,405,405,361,327,308,291,345,435
Numero de hurto a establecimientos de comercio,Puente Aranda,214,152,198,133,233,221,548,376,146,927,1296,1213,642,701,721,635,685
Numero de hurtos a residencias,Puente Aranda,143,166,131,135,94,67,117,41,46,425,451,391,483,407,326,328,259
Numero de lesiones comunes,Puente Aranda,235,279,224,278,416,308,496,529,667,919,1249,986,757,907,917,845,705
Numero de homicidios CICRI,Rafael Uribe Uribe,69,89,74,115,104,108,88,104,100,103,70,61,86,84,80,78,54
Numero de hurtos a personas,Rafael Uribe Uribe,473,466,507,533,761,1080,1088,1139,1816,2646,3345,3995,2990,4020,4488,5461,3343
Numero de hurtos a vehiculos,Rafael Uribe Uribe,99,112,96,127,120,114,129,114,148,173,172,187,174,181,179,328,251
Numero de hurto a establecimientos de comercio,Rafael Uribe Uribe,84,104,86,78,118,117,142,145,110,428,474,499,372,457,347,389,317
Numero de hurtos a residencias,Rafael Uribe Uribe,127,155,112,140,147,163,186,101,174,373,482,421,359,301,313,380,280
Numero de lesiones comunes,Rafael Uribe Uribe,603,539,449,546,686,609,763,838,1362,1552,1601,1483,1150,1319,1037,1067,1019
Numero de homicidios CICRI,San Cristobal,95,101,96,105,78,70,106,90,96,67,54,46,54,72,63,56,53
Numero de hurtos a personas,San Cristobal,351,388,365,404,558,812,802,934,1210,2004,2347,2856,2566,3305,3671,3917,3220
Numero de hurtos a vehiculos,San Cristobal,98,122,133,110,75,84,100,124,115,110,120,150,131,151,124,152,127
Numero de hurto a establecimientos de comercio,San Cristobal,94,95,79,55,175,147,188,164,97,428,405,579,402,289,337,458,381
Numero de hurtos a residencias,San Cristobal,185,147,123,127,185,167,180,165,151,377,408,359,322,274,286,322,230
Numero de lesiones comunes,San Cristobal,683,590,456,664,746,697,631,807,1297,1497,1719,1443,1148,1339,1081,1210,1025
Numero de homicidios CICRI,Santa Fe,78,82,61,62,49,56,71,59,58,42,31,42,34,47,63,50,91
Numero de hurtos a personas,Santa Fe,1327,1405,1435,1150,1331,1884,2228,1909,2102,5207,7226,8096,3921,4813,7639,8792,9519
Numero de hurtos a vehiculos,Santa Fe,30,22,24,27,11,19,36,10,17,118,39,35,40,38,46,41,52
Numero de hurto a establecimientos de comercio,Santa Fe,257,210,193,171,298,446,484,264,140,964,910,801,429,545,534,597,566
Numero de hurtos a residencias,Santa Fe,126,134,110,87,83,72,61,48,40,223,177,158,137,126,129,170,148
Numero de lesiones comunes,Santa Fe,568,371,357,401,750,508,655,642,789,1060,1221,865,659,807,794,827,699
Numero de homicidios CICRI,Suba,123,142,123,145,117,100,112,93,93,93,88,81,81,60,85,77,75
Numero de hurtos a personas,Suba,1831,1765,1956,1876,2206,2603,2966,2673,3913,8084,10971,12708,8818,10898,14544,17656,12772
Numero de hurtos a vehiculos,Suba,386,420,363,354,289,233,209,180,201,252,326,331,327,337,318,337,252
Numero de hurto a establecimientos de comercio,Suba,381,372,370,384,724,825,686,751,562,1674,1888,1945,1364,1089,1177,1242,1094
Numero de hurtos a residencias,Suba,1086,853,1032,1021,1063,1096,1093,816,814,1207,1382,1302,1130,1070,949,1042,811
Numero de lesiones comunes,Suba,1477,1322,1267,1401,1444,1468,1442,1409,1893,2692,2458,1893,1633,2143,1909,2008,1598
Numero de homicidios CICRI,Sumapaz,4,13,0,0,3,5,6,3,1,0,0,1,1,2,1,3,1
Numero de hurtos a personas,Sumapaz,0,0,0,0,0,0,0,2,0,1,3,0,9,1,0,0,0
Numero de hurtos a vehiculos,Sumapaz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Numero de hurto a establecimientos de comercio,Sumapaz,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
Numero de hurtos a residencias,Sumapaz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Numero de lesiones comunes,Sumapaz,0,0,0,0,0,0,1,14,0,11,23,0,11,1,0,0,0
Numero de homicidios CICRI,Teusaquillo,21,27,8,13,9,10,6,9,9,8,6,4,5,15,14,13,11
Numero de hurtos a personas,Teusaquillo,930,1001,898,793,1071,1796,1794,1804,2357,5190,6977,8132,3931,5296,7959,10228,7519
Numero de hurtos a vehiculos,Teusaquillo,196,130,159,157,57,86,74,71,81,103,96,91,66,96,82,179,135
Numero de hurto a establecimientos de comercio,Teusaquillo,253,278,233,159,275,393,415,460,335,1021,1144,974,586,526,625,516,531
Numero de hurtos a residencias,Teusaquillo,233,254,287,181,187,175,199,115,91,396,395,465,375,378,406,446,304
Numero de lesiones comunes,Teusaquillo,162,134,120,149,312,384,305,313,499,637,743,421,282,505,444,403,486
Numero de homicidios CICRI,Tunjuelito,42,45,33,41,15,33,26,46,34,26,23,38,20,26,20,21,27
Numero de hurtos a personas,Tunjuelito,314,287,283,316,504,615,598,709,969,1562,2181,2551,1905,2426,2766,2787,2313
Numero de hurtos a vehiculos,Tunjuelito,60,67,44,70,72,63,66,81,104,96,120,73,76,69,85,70,61
Numero de hurto a establecimientos de comercio,Tunjuelito,84,69,71,62,115,125,99,128,87,275,356,341,273,174,174,152,146
Numero de hurtos a residencias,Tunjuelito,96,61,66,87,75,93,99,83,84,186,214,165,174,153,120,92,88
Numero de lesiones comunes,Tunjuelito,400,268,213,235,398,370,378,374,579,634,892,883,541,587,477,485,496
Numero de homicidios CICRI,Usaquen,81,72,76,63,43,61,54,39,35,34,36,33,50,36,34,35,47
Numero de hurtos a personas,Usaquen,1167,1112,1236,1603,1672,2171,2149,2227,2974,5857,9113,10812,6144,7734,9314,8643,8592
Numero de hurtos a vehiculos,Usaquen,243,257,276,216,130,113,104,60,68,112,158,104,114,22854,150,102,117
Numero de hurto a establecimientos de comercio,Usaquen,242,214,270,319,534,704,621,460,350,1290,1294,1474,1020,896,939,902,921
Numero de hurtos a residencias,Usaquen,570,421,637,650,611,726,756,547,588,796,843,744,661,607,654,666,617
Numero de lesiones comunes,Usaquen,310,265,348,413,640,652,670,591,959,1159,1249,917,710,1080,800,786,756
Numero de homicidios CICRI,Usme,72,92,75,102,86,84,101,123,114,93,85,89,67,70,59,70,89
Numero de hurtos a personas,Usme,340,322,263,278,590,599,551,613,795,1325,1854,2294,1884,2340,3027,3187,2372
Numero de hurtos a vehiculos,Usme,26,44,29,53,52,62,53,100,75,73,78,104,86,96,95,158,130
Numero de hurto a establecimientos de comercio,Usme,109,77,66,78,142,85,91,152,84,310,441,522,284,252,262,291,264
Numero de hurtos a residencias,Usme,124,159,160,141,155,126,162,228,148,325,424,456,306,278,247,377,242
Numero de lesiones comunes,Usme,712,635,616,635,1246,784,672,800,1182,1406,1550,1489,1233,1414,1109,1067,949
